City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,51.46,82,0,5.75,AR,1675317045
1,vadso,70.0744,29.7487,27.48,73,20,14.97,NO,1675317046
2,sedalia,38.7045,-93.2283,26.85,54,0,9.22,US,1675316635
3,khatanga,71.9667,102.5,-18.4,97,100,5.66,RU,1675317047
4,lahij,13.1667,44.5833,70.65,69,10,5.08,YE,1675317048
5,wanning,18.8003,110.3967,73.54,82,100,8.03,CN,1675317049
6,anchorage,61.2181,-149.9003,28.92,95,100,0.0,US,1675316971
7,tecoman,18.9167,-103.8833,67.96,72,53,4.0,MX,1675317050
8,aklavik,68.2191,-135.0107,-29.2,99,60,7.49,CA,1675317051
9,harbour breton,47.4833,-55.7983,15.04,71,74,9.35,CA,1675317051
10,bluff,-46.6,168.3333,68.04,79,92,4.23,NZ,1675317052
11,kavaratti,10.5669,72.642,80.67,73,91,9.06,IN,1675317053
12,sioni,41.9895,45.0239,30.56,61,86,1.9,GE,1675317053
13,new norfolk,-42.7826,147.0587,63.9,70,99,1.99,AU,1675317054
14,lavrentiya,65.5833,-171.0,6.8,96,100,7.92,RU,1675317055
15,ilo,-17.6394,-71.3375,71.55,90,79,4.09,PE,1675317055
16,mayo,38.8876,-76.5119,33.15,74,0,1.99,US,1675317056
17,busselton,-33.65,115.3333,85.75,28,98,9.17,AU,1675317057
18,karimganj,24.8667,92.35,84.56,34,43,2.06,IN,1675317057
19,qaanaaq,77.484,-69.3632,-6.32,56,0,9.22,GL,1675317059
20,clyde river,70.4692,-68.5914,-30.77,68,0,14.97,CA,1675317059
21,saldanha,-33.0117,17.9442,59.05,82,0,14.45,ZA,1675317060
22,mataura,-46.1927,168.8643,70.36,92,100,2.13,NZ,1675317061
23,tiksi,71.6872,128.8694,-18.47,98,99,8.12,RU,1675317062
24,finca blanco,8.3833,-82.8667,71.62,77,12,3.4,PA,1675317064
25,san quintin,30.4833,-115.95,55.09,63,0,2.15,MX,1675317065
26,livingston,55.9029,-3.5226,48.56,89,75,16.11,GB,1675316995
27,archidona,37.0965,-4.3887,39.4,83,0,3.42,ES,1675317067
28,vaitape,-16.5167,-151.75,82.0,74,26,19.28,PF,1675317068
29,ulaangom,49.9811,92.0667,-9.13,94,52,2.64,MN,1675317070
30,grenfell,-33.9,148.1667,82.94,22,13,20.96,AU,1675317072
31,port blair,11.6667,92.75,102.24,39,40,9.22,IN,1675317036
32,eyl,7.9803,49.8164,78.76,55,12,17.65,SO,1675317074
33,chokurdakh,70.6333,147.9167,-9.62,99,100,4.41,RU,1675317075
34,jamestown,42.097,-79.2353,19.71,88,0,10.36,US,1675316957
35,boa vista,2.8197,-60.6733,76.98,69,0,13.8,BR,1675317077
36,avarua,-21.2078,-159.775,71.65,100,20,1.14,CK,1675317079
37,port elizabeth,-33.918,25.5701,71.31,79,0,4.61,ZA,1675317079
38,punta arenas,-53.15,-70.9167,53.71,71,75,5.75,CL,1675317081
39,cherskiy,68.75,161.3,-10.07,100,98,3.15,RU,1675317082
40,upernavik,72.7868,-56.1549,-16.08,87,90,4.83,GL,1675317083
41,saskylakh,71.9167,114.0833,-18.83,100,99,4.72,RU,1675317084
42,sola,-13.8833,167.55,82.45,70,41,2.68,VU,1675317085
43,nampula,-15.1165,39.2666,76.95,88,75,3.44,MZ,1675317087
44,talnakh,69.4865,88.3972,9.21,96,100,8.72,RU,1675317089
45,georgetown,5.4112,100.3354,89.53,58,20,12.66,MY,1675316731
46,qaqortoq,60.7167,-46.0333,5.99,92,92,0.76,GL,1675317092
47,batemans bay,-35.7167,150.1833,86.61,28,79,9.28,AU,1675317093
48,nemuro,43.3236,145.575,22.66,69,55,18.03,JP,1675317094
49,ponta do sol,32.6667,-17.1,61.43,68,81,10.16,PT,1675317095
50,east london,-33.0153,27.9116,72.54,73,0,6.91,ZA,1675317096
51,bethel,41.3712,-73.414,27.48,66,0,0.0,US,1675316518
52,abu kamal,34.4506,40.9171,48.51,59,30,22.24,SY,1675317098
53,banff,51.1762,-115.5698,7.18,78,94,0.0,CA,1675317099
54,ribeira grande,38.5167,-28.7,54.77,80,15,4.0,PT,1675317100
55,altay,47.8667,88.1167,23.94,69,11,0.76,CN,1675317102
56,samarai,-10.6167,150.6667,84.13,74,100,9.35,PG,1675317103
57,puerto ayora,-0.7393,-90.3518,77.56,96,75,1.99,EC,1675317104
58,arraial do cabo,-22.9661,-42.0278,75.2,90,100,5.82,BR,1675317105
59,molina,-35.1167,-71.2833,69.53,46,0,5.75,CL,1675317105
60,bardiyah,31.7561,25.0865,51.04,62,33,10.69,LY,1675317106
61,yellowknife,62.456,-114.3525,-35.45,67,0,3.44,CA,1675317021
62,vaini,-21.2,-175.2,82.56,78,75,13.8,TO,1675317107
63,puerto del rosario,28.5004,-13.8627,64.15,55,0,17.27,ES,1675317108
64,atambua,-9.1061,124.8925,82.53,69,96,6.29,ID,1675317109
65,severo-kurilsk,50.6789,156.125,25.23,73,72,17.56,RU,1675317109
66,tuktoyaktuk,69.4541,-133.0374,-34.6,74,75,2.3,CA,1675317110
67,macamic,48.7502,-78.9996,3.07,98,100,5.77,CA,1675317111
68,torbay,47.6666,-52.7314,13.26,82,40,0.0,CA,1675317111
69,shu,43.5983,73.7614,32.54,80,100,2.62,KZ,1675317112
70,lata,40.1629,-8.3327,37.8,87,0,4.34,PT,1675317113
71,butaritari,3.0707,172.7902,80.08,79,100,21.97,KI,1675317113
72,codrington,-38.2667,141.9667,59.47,57,86,26.78,AU,1675317114
73,kapaa,22.0752,-159.319,75.52,89,75,8.05,US,1675317115
74,mombasa,-4.0547,39.6636,82.81,69,20,3.44,KE,1675317116
75,atuona,-9.8,-139.0333,78.94,80,95,18.95,PF,1675317116
76,kortkeros,61.8106,51.5806,28.4,95,99,6.62,RU,1675317117
77,college,64.8569,-147.8028,11.59,82,100,4.61,US,1675317118
78,rikitea,-23.1203,-134.9692,79.32,72,3,15.73,PF,1675317118
79,ascoli piceno,42.8548,13.5749,44.26,65,4,6.55,IT,1675317119
80,sao joao de pirabas,-0.7747,-47.1772,72.68,98,91,4.12,BR,1675317120
81,hilo,19.7297,-155.09,77.29,89,100,3.44,US,1675316530
82,port lincoln,-34.7333,135.8667,62.51,63,79,25.66,AU,1675317121
83,kupang,-10.1667,123.5833,79.38,94,75,6.91,ID,1675317122
84,hithadhoo,-0.6,73.0833,80.94,75,33,13.62,MV,1675317124
85,tura,25.5198,90.2201,79.86,20,11,2.55,IN,1675317125
86,bulgan,48.8125,103.5347,11.8,74,84,0.98,MN,1675317126
